economy,year,id_year,urbanpop
LTE,2012,LTE 2012,1263628106
LTU,2012,LTU 2012,1997745
LUX,2012,LUX 2012,473864
LVA,2012,LVA 2012,1381242
MAC,2012,MAC 2012,582766
MAR,2012,MAR 2012,19725140
MCO,2012,MCO 2012,34700
MDA,2012,MDA 2012,1217297
MDG,2012,MDG 2012,7630993
MDV,2012,MDV 2012,144424
MEA,2012,MEA 2012,260609701
MEX,2012,MEX 2012,90758420
MHL,2012,MHL 2012,38890
MIC,2012,MIC 2012,2593477682
MKD,2012,MKD 2012,1177371
MLI,2012,MLI 2012,6209357
MLT,2012,MLT 2012,395713
MMR,2012,MMR 2012,14696854
MNA,2012,MNA 2012,211056972
MNE,2012,MNE 2012,402174
MNG,2012,MNG 2012,1899635
MNP,2012,MNP 2012,47703
MOZ,2012,MOZ 2012,8043201
MRT,2012,MRT 2012,1759879
MUS,2012,MUS 2012,519081
MWI,2012,MWI 2012,2463707
MYS,2012,MYS 2012,21436918
NAC,2012,NAC 2012,282845297
NAM,2012,NAM 2012,947033
NCL,2012,NCL 2012,176182
NER,2012,NER 2012,2910768
NGA,2012,NGA 2012,76952556
NIC,2012,NIC 2012,3456081
NLD,2012,NLD 2012,14842886
NOR,2012,NOR 2012,4008535
NPL,2012,NPL 2012,4771393
NRU,2012,NRU 2012,10444
NZL,2012,NZL 2012,3798063
OED,2012,OED 2012,1036720452
OMN,2012,OMN 2012,2742336
OSS,2012,OSS 2012,16177235
PAK,2012,PAK 2012,71597051
PAN,2012,PAN 2012,2468484
PER,2012,PER 2012,22848874
PHL,2012,PHL 2012,44812533
PLW,2012,PLW 2012,13674
PNG,2012,PNG 2012,1042006
POL,2012,POL 2012,23086831
PRE,2012,PRE 2012,298783720
PRI,2012,PRI 2012,3406460
PRK,2012,PRK 2012,15116334
PRT,2012,PRT 2012,6494283
PRY,2012,PRY 2012,3548485
PSE,2012,PSE 2012,2969835
PSS,2012,PSS 2012,879357
PST,2012,PST 2012,868544525
PYF,2012,PYF 2012,176132
QAT,2012,QAT 2012,1880829
ROU,2012,ROU 2012,10826124
RUS,2012,RUS 2012,105669982
RWA,2012,RWA 2012,1836678
SAS,2012,SAS 2012,539682037
SAU,2012,SAU 2012,25433937
SDN,2012,SDN 2012,11724384
SEN,2012,SEN 2012,5901794
SGP,2012,SGP 2012,5312437
SLB,2012,SLB 2012,119060
SLE,2012,SLE 2012,2691132
SLV,2012,SLV 2012,4139585
SMR,2012,SMR 2012,31863
SOM,2012,SOM 2012,5169951
SRB,2012,SRB 2012,3985121
SSA,2012,SSA 2012,344254829
SSD,2012,SSD 2012,1949511
SSF,2012,SSF 2012,344302619
SST,2012,SST 2012,20650946
STP,2012,STP 2012,127553
SUR,2012,SUR 2012,369514
SVK,2012,SVK 2012,2935234
SVN,2012,SVN 2012,1092516
SWE,2012,SWE 2012,8150488
SWZ,2012,SWZ 2012,253954
SXM,2012,SXM 2012,34640
SYC,2012,SYC 2012,47790
SYR,2012,SYR 2012,12106417
TCA,2012,TCA 2012,29223
TCD,2012,TCD 2012,2824191
TEA,2012,TEA 2012,979320308
TEC,2012,TEC 2012,290530403
TGO,2012,TGO 2012,2669941
THA,2012,THA 2012,31428409
TJK,2012,TJK 2012,2112022
TKM,2012,TKM 2012,2684307
TLA,2012,TLA 2012,463478372
TLS,2012,TLS 2012,323419
TMN,2012,TMN 2012,208087137
TON,2012,TON 2012,25193
TSA,2012,TSA 2012,539682037
TSS,2012,TSS 2012,344302619
TTO,2012,TTO 2012,767698
TUN,2012,TUN 2012,7511197
TUR,2012,TUR 2012,54180184
TUV,2012,TUV 2012,6167
TZA,2012,TZA 2012,14093565
UGA,2012,UGA 2012,6999978
UKR,2012,UKR 2012,31360012
UMC,2012,UMC 2012,1431823667
URY,2012,URY 2012,3193778
USA,2012,USA 2012,254614421
UZB,2012,UZB 2012,15199882
VCT,2012,VCT 2012,53776
VEN,2012,VEN 2012,25970224
VGB,2012,VGB 2012,12932
VIR,2012,VIR 2012,102691
VNM,2012,VNM 2012,28354957
VUT,2012,VUT 2012,63456
WLD,2012,WLD 2012,3745429795
WSM,2012,WSM 2012,38880
YEM,2012,YEM 2012,8642705
ZAF,2012,ZAF 2012,33625925
ZMB,2012,ZMB 2012,5950059
ZWE,2012,ZWE 2012,4355539
ABW,2013,ABW 2013,44228
AFE,2013,AFE 2013,190108665
AFG,2013,AFG 2013,7687539
AFW,2013,AFW 2013,168643432
AGO,2013,AGO 2013,16211664
ALB,2013,ALB 2013,1603505
AND,2013,AND 2013,63186
ARB,2013,ARB 2013,222497540
ARE,2013,ARE 2013,7444846
ARG,2013,ARG 2013,38509756
ARM,2013,ARM 2013,1832631
ASM,2013,ASM 2013,46290
ATG,2013,ATG 2013,22434
AUS,2013,AUS 2013,19775013
AUT,2013,AUT 2013,4861991
AZE,2013,AZE 2013,5098727
BDI,2013,BDI 2013,1165374
BEL,2013,BEL 2013,10912673
BEN,2013,BEN 2013,4602023
BFA,2013,BFA 2013,4646488
BGD,2013,BGD 2013,50463354
BGR,2013,BGR 2013,5326274
BHR,2013,BHR 2013,1120807
BHS,2013,BHS 2013,318531
BIH,2013,BIH 2013,1682852
BLR,2013,BLR 2013,7195632
BLZ,2013,BLZ 2013,156082
BMU,2013,BMU 2013,65001
BOL,2013,BOL 2013,7273140
BRA,2013,BRA 2013,171885100
BRB,2013,BRB 2013,87016
BRN,2013,BRN 2013,312881
BTN,2013,BTN 2013,270775
BWA,2013,BWA 2013,1453914
CAF,2013,CAF 2013,1904787
CAN,2013,CAN 2013,28479640
CEB,2013,CEB 2013,64402919
CHE,2013,CHE 2013,5959745
CHI,2013,CHI 2013,49579
CHL,2013,CHL 2013,15276709
CHN,2013,CHN 2013,722694421
CIV,2013,CIV 2013,10918491
CMR,2013,CMR 2013,11546101
COD,2013,COD 2013,30579203
COG,2013,COG 2013,3120234
COL,2013,COL 2013,36556170
COM,2013,COM 2013,197390
CPV,2013,CPV 2013,341874
CRI,2013,CRI 2013,3592214
CSS,2013,CSS 2013,3623046
CUB,2013,CUB 2013,8698029
CUW,2013,CUW 2013,137738
CYM,2013,CYM 2013,58212
CYP,2013,CYP 2013,783467
CZE,2013,CZE 2013,7705910
DEU,2013,DEU 2013,62242278
DJI,2013,DJI 2013,750407
DMA,2013,DMA 2013,47473
DNK,2013,DNK 2013,4901386
DOM,2013,DOM 2013,7795435
DZA,2013,DZA 2013,26439316
EAP,2013,EAP 2013,1023177946
EAR,2013,EAR 2013,1326036760
EAS,2013,EAS 2013,1236097364
ECA,2013,ECA 2013,256569372
ECS,2013,ECS 2013,639571136
ECU,2013,ECU 2013,9925137
EGY,2013,EGY 2013,40052578
EMU,2013,EMU 2013,256128892
ERI,2013,ERI 2013,1218964
ESP,2013,ESP 2013,36891840
EST,2013,EST 2013,897846
ETH,2013,ETH 2013,18033421
EUU,2013,EUU 2013,325407780
FCS,2013,FCS 2013,343357557
FIN,2013,FIN 2013,4629925
FJI,2013,FJI 2013,490579
FRA,2013,FRA 2013,52230911
FRO,2013,FRO 2013,20027
FSM,2013,FSM 2013,24280
GAB,2013,GAB 2013,1657904
GBR,2013,GBR 2013,52650595
GEO,2013,GEO 2013,2107360
GHA,2013,GHA 2013,14519202
GIB,2013,GIB 2013,32411
GIN,2013,GIN 2013,3819098
GMB,2013,GMB 2013,1228599
GNB,2013,GNB 2013,701342
GNQ,2013,GNQ 2013,865086
GRC,2013,GRC 2013,8482139
GRD,2013,GRD 2013,41979
GRL,2013,GRL 2013,48322
GTM,2013,GTM 2013,7418337
GUM,2013,GUM 2013,157639
GUY,2013,GUY 2013,197319
HIC,2013,HIC 2013,958580837
HKG,2013,HKG 2013,7178900
HND,2013,HND 2013,4826031
HPC,2013,HPC 2013,232024198
HRV,2013,HRV 2013,2370674
HTI,2013,HTI 2013,5177805
HUN,2013,HUN 2013,6920508
IBD,2013,IBD 2013,2380491077
IBT,2013,IBT 2013,2896559639
IDA,2013,IDA 2013,516068562
IDB,2013,IDB 2013,201726825
IDN,2013,IDN 2013,131589503
IDX,2013,IDX 2013,314341737
IMN,2013,IMN 2013,43836
IND,2013,IND 2013,413200994
IRL,2013,IRL 2013,2873286
IRN,2013,IRN 2013,56721882
IRQ,2013,IRQ 2013,24693559
ISL,2013,ISL 2013,303150
ISR,2013,ISR 2013,7417238
ITA,2013,ITA 2013,41548775
JAM,2013,JAM 2013,1507196
JOR,2013,JOR 2013,6858003
